# Jaccard Index Curves for Each Sawtooth Event
# shot_number,time_before,radius,jaccard_index
42354,213.20,30.472,0.772567
42354,213.20,30.624,0.768512
42354,213.20,30.776,0.764643
42354,213.20,30.928,0.760955
42354,213.20,31.080,0.757443
42354,213.20,31.232,0.754104
42354,213.20,31.384,0.750934
42354,213.20,31.536,0.747929
42354,213.20,31.688,0.745086
42354,213.20,31.840,0.742402
42354,213.20,31.992,0.739874
42354,213.20,32.144,0.737498
42354,213.20,32.296,0.735274
42354,213.20,32.448,0.733197
42354,213.20,32.600,0.731267
42354,213.20,32.752,0.729481
42354,213.20,32.904,0.727837
42354,213.20,33.056,0.726334
42354,213.20,33.208,0.724970
42354,213.20,33.360,0.723744
42354,213.20,33.512,0.722655
42354,213.20,33.664,0.721702
42354,213.20,33.816,0.720884
42354,213.20,33.968,0.720200
42354,213.20,34.120,0.719650
42354,213.20,34.272,0.719233
42354,213.20,34.424,0.718950
42354,213.20,34.576,0.718800
42354,213.20,34.728,0.718782
42354,213.20,34.880,0.718898
42354,213.20,35.032,0.719148
42354,213.20,35.184,0.719533
42354,213.20,35.336,0.720052
42354,213.20,35.488,0.720707
42354,213.20,35.640,0.721499
42354,213.20,35.792,0.722429
42354,213.20,35.944,0.723498
42354,213.20,36.096,0.724709
42354,213.20,36.248,0.726062
42354,213.20,36.400,0.727559
42354,213.20,36.552,0.729203
42354,213.20,36.704,0.730996
42354,213.20,36.856,0.732941
42354,213.20,37.008,0.735039
42354,213.20,37.160,0.737295
42354,213.20,37.312,0.739710
42354,213.20,37.464,0.742289
42354,213.20,37.616,0.745036
42354,213.20,37.768,0.747953
42354,213.20,37.920,0.751046
42354,213.20,38.072,0.754319
42354,213.20,38.224,0.757776
42354,213.20,38.376,0.761424
42354,213.20,38.528,0.765267
42354,213.20,38.680,0.769311
42354,213.20,38.832,0.773563
42354,213.20,38.984,0.778029
42354,213.20,39.136,0.782717
42354,213.20,39.288,0.787635
42354,213.20,39.440,0.792789
42354,213.20,39.592,0.798191
42354,213.20,39.744,0.803847
42354,213.20,39.896,0.809770
42354,213.20,40.048,0.815969
42354,213.20,40.200,0.822456
42354,213.20,40.352,0.829243
42354,213.20,40.504,0.836348
42354,213.20,40.656,0.843846
42354,213.20,40.808,0.851846
42354,213.20,40.960,0.860466
42354,213.20,41.112,0.869827
42354,213.20,41.264,0.880059
42354,213.20,41.416,0.891299
42354,213.20,41.568,0.903697
42354,213.20,41.720,0.917413
42354,213.20,41.872,0.932624
42354,213.20,42.024,0.949525
42354,213.20,42.176,0.968332
42354,213.20,42.328,0.989290
42354,213.20,42.480,0.987484
42354,213.20,42.632,0.962741
42354,213.20,42.784,0.937215
42354,213.20,42.936,0.911682
42354,213.20,43.088,0.886857
42354,213.20,43.240,0.863399
42354,213.20,43.392,0.841920
42354,213.20,43.544,0.822994
42354,213.20,43.696,0.807170
42354,213.20,43.848,0.794989
42354,213.20,44.000,0.786999
42354,213.20,44.152,0.783773
42354,213.20,44.304,0.785940
42354,213.20,44.456,0.794204
42354,213.20,44.608,0.809388
42354,213.20,44.760,0.832056
42354,213.20,44.912,0.861490
42354,213.20,45.064,0.896669
42354,213.20,45.216,0.936491
42354,213.20,45.368,0.979714
42354,213.20,45.520,0.975704
42354,213.20,45.672,0.934251
42354,213.20,45.824,0.897501
42354,213.20,45.976,0.866406
42354,213.20,46.128,0.841800
42354,213.20,46.280,0.824485
42354,213.20,46.432,0.815319
42354,213.20,46.584,0.815326
42354,213.20,46.736,0.825809
42354,213.20,46.888,0.848426
42354,213.20,47.040,0.883789
42354,213.20,47.192,0.931637
42354,213.20,47.344,0.991981
42354,213.20,47.496,0.938930
42354,213.20,47.648,0.868692
42354,213.20,47.800,0.799585
42354,213.20,47.952,0.733310
42354,213.20,48.104,0.671140
42354,213.20,48.256,0.614011
42354,213.20,48.408,0.562614
42354,213.20,48.560,0.517481
42354,213.20,48.712,0.479063
42354,213.20,48.864,0.447800
42354,213.20,49.016,0.424198
42354,213.20,49.168,0.408493
42354,213.20,49.320,0.399961
42354,213.20,49.472,0.397901
42354,213.20,49.624,0.401802
42354,213.20,49.776,0.411292
42354,213.20,49.928,0.426107
42354,213.20,50.080,0.446056
42354,213.20,50.232,0.471005
42354,213.20,50.384,0.500842
42354,213.20,50.536,0.535461
42354,213.20,50.688,0.574722
42354,213.20,50.840,0.618418
42354,213.20,50.992,0.666224
42354,213.20,51.144,0.717643
